,number,model_name,slump,allStarts,bb,rb,judge
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2010,6750,26,41,win
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2588,7234,37,48,win
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-2015,5206,16,16,lose
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1293,6032,28,51,win
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2497,7011,34,49,win
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,3140,7585,41,48,win
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,5083,6354,40,41,win
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1172,8850,97,14,lose
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-637,3167,27,2,lose
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1231,6125,58,4,lose
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2889,9975,33,14,win
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,652,7732,0,7,win
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1553,3380,20,1,lose
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-2549,7156,53,8,lose
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,4080,7844,132,12,win
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,52,6556,71,4,win
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1349,6748,95,9,win
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1633,6778,56,7,lose
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-2637,2679,5,0,lose
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-3142,5491,31,2,lose
