,number,model_name,slump,allStarts
308,2309,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-836,658
309,2310,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-614,2728
310,2311,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1708,6115
311,2312,アイムジャグラーＥＸ－ＡＥ／ＫＴ,432,2619
312,2313,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-234,2062
313,2314,アイムジャグラーＥＸ－ＡＥ／ＫＴ,73,1709
314,2315,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1128,2538
315,2316,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-941,1495
316,2317,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1041,1532
317,2318,アイムジャグラーＥＸ－ＡＥ／ＫＴ,556,4126
318,2319,ゴーゴージャグラーＫＫ,805,3287
319,2320,ゴーゴージャグラーＫＫ,-826,2038
320,2321,ゴーゴージャグラーＫＫ,-1718,3445
321,2322,ゴーゴージャグラーＫＫ,-987,2302
322,2323,ゴーゴージャグラーＫＫ,-95,4051
323,2324,ゴーゴージャグラーＫＫ,-639,1015
324,2325,アイムジャグラーＥＸ－ＡＥ／ＫＴ,0,0
325,2326,アイムジャグラーＥＸ－ＡＥ／ＫＴ,2575,6095
326,2327,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-449,1632
327,2328,アイムジャグラーＥＸ－ＡＥ／ＫＴ,301,2213
328,2329,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-160,2969
329,2330,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-909,1878
330,2331,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1751,2543
331,2332,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1175,3137
332,2333,アイムジャグラーＥＸ－ＡＥ／ＫＴ,38,1420
333,2334,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-611,3712
334,2335,アイムジャグラーＥＸ－ＡＥ／ＫＴ,367,2693
335,2336,アイムジャグラーＥＸアニバーサリー／ＫＫ,-549,933
336,2337,スーパーミラクルジャグラー／ＫＵ,-962,1564
337,2338,スーパーミラクルジャグラー／ＫＵ,374,2389
338,2339,スーパーミラクルジャグラー／ＫＵ,-637,590
339,2340,スーパーミラクルジャグラー／ＫＵ,-7,3679
340,2341,スーパーミラクルジャグラー／ＫＵ,-672,1918
341,2342,ディスクアップ／ＺＳ,-1182,898
342,2343,ディスクアップ／ＺＳ,-423,332
343,2344,ディスクアップ／ＺＳ,-874,814
344,2345,ディスクアップ／ＺＳ,-382,408
345,2346,ディスクアップ／ＺＳ,311,4030
346,2347,ディスクアップ／ＺＳ,-372,251
347,2348,ディスクアップ／ＺＳ,-700,1565
348,2349,ディスクアップ／ＺＳ,-202,264
349,2350,ディスクアップ／ＺＳ,-460,578
350,2351,アレックスＡＥ,804,5812
351,2352,ディスクアップ／ＺＳ,-423,573
352,2353,アレックスＡＥ,-295,193
353,2354,ディスクアップ／ＺＳ,-134,431
354,2355,アレックスＡＥ,20,306
355,2356,ディスクアップ／ＺＳ,-589,627
356,2357,ニューパルサーＳＰ２／ＤＤ,-453,294
357,2358,ディスクアップ／ＺＳ,2544,3806
358,2359,クランキーセレブレーションＣＥ,-2072,2203
359,2360,ディスクアップ／ＺＳ,-405,502
360,2361,バイオイントゥザパニック／ＺＡ,40,696
361,2362,リノＮＧＴＣＣ,-1554,1785
362,2363,リノＮＧＴＣＣ,0,0
363,2364,リノＮＧＴＣＣ,-850,935
364,2365,リノＮＧＴＣＣ,-270,411
365,2366,リノＮＧＴＣＣ,1281,629
366,2367,リノＮＧＴＣＣ,144,288
367,2368,ディスクアップ／ＺＳ,141,510
368,2369,ディスクアップ／ＺＳ,1148,2341
369,2370,アレックスＡＥ,-291,244
370,2371,ディスクアップ／ＺＳ,1351,3239
371,2372,アレックスＡＥ,35,507
372,2373,ディスクアップ／ＺＳ,-476,339
373,2374,ディスクアップ／ＺＳ,-312,473
374,2375,ディスクアップ／ＺＳ,144,400
375,2376,ディスクアップ／ＺＳ,-35,269
376,2377,ディスクアップ／ＺＳ,474,1809
377,2378,ディスクアップ／ＺＳ,-774,681
378,2379,ディスクアップ／ＺＳ,-30,259
379,2380,ディスクアップ／ＺＳ,-359,438
380,2381,ディスクアップ／ＺＳ,-639,2210
381,2382,ダンまち／ＫＴ,-276,315
382,2383,ダンまち／ＫＴ,0,0
383,2384,ダンまち／ＫＴ,0,0
384,2385,ダンまち／ＫＴ,-287,476
385,2386,バーサスＳＥ,273,962
386,2387,バーサスＳＥ,-684,2860
387,2388,バーサスＳＥ,-659,1178
388,2389,バーサスＳＥ,285,1960
389,2390,バーサスＳＥ,-1459,2103
390,2391,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,-282,1816
391,2392,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,-486,970
392,2393,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,-324,1986
393,2394,ディスクアップ／ＺＳ,-751,458
394,2395,スーパービンゴネオＭ１,-701,474
395,2396,スーパービンゴネオＭ１,-199,122
396,2397,スーパービンゴネオＭ１,786,1330
397,2398,スーパービンゴネオＭ１,1375,1037
398,2399,スーパービンゴネオＭ１,-1656,2082
399,2400,スーパービンゴネオＭ１,-2290,2529
400,2401,スーパービンゴネオＭ１,-5395,4712
401,2402,Ｓ／ドンちゃん２／ＤＣ,-358,1268
