,number,model_name,slump,allStarts,bb,rb
280,2281,ゴーゴージャグラーＫＫ,-37,7165,23,30
281,2282,ゴーゴージャグラーＫＫ,-1719,4360,13,13
282,2283,ゴーゴージャグラーＫＫ,-1204,1246,1,3
283,2284,ゴーゴージャグラーＫＫ,81,6499,25,18
284,2285,ゴーゴージャグラーＫＫ,-1024,1673,3,0
285,2286,ゴーゴージャグラーＫＫ,-953,2962,11,8
286,2287,ゴーゴージャグラーＫＫ,-1816,6329,18,21
287,2288,ゴーゴージャグラーＫＫ,-1691,2283,4,6
288,2289,ゴーゴージャグラーＫＫ,208,5001,20,16
289,2290,ゴーゴージャグラー２／ＫＤ,2559,6392,31,19
290,2291,ゴーゴージャグラー２／ＫＤ,1374,8944,37,37
291,2292,ゴーゴージャグラー２／ＫＤ,5662,9135,46,43
292,2293,ゴーゴージャグラー２／ＫＤ,-746,1135,2,3
293,2294,ゴーゴージャグラー２／ＫＤ,-848,1480,4,2
294,2295,マイジャグラー３ＫＤ,-120,1725,7,1
295,2296,マイジャグラー３ＫＤ,-940,2119,6,3
296,2297,マイジャグラー３ＫＤ,82,6765,22,21
297,2298,マイジャグラー３ＫＤ,677,5759,24,13
298,2299,マイジャグラー３ＫＤ,24,1744,7,4
299,2300,マイジャグラーⅣ／ＫＥ,-293,4753,19,7
300,2301,マイジャグラーⅣ／ＫＥ,4317,7217,38,21
301,2302,スーパーミラクルジャグラー／ＫＵ,567,5959,25,14
302,2303,スーパーミラクルジャグラー／ＫＵ,-308,4016,13,11
303,2304,スーパーミラクルジャグラー／ＫＵ,1874,6385,28,23
304,2305,スーパーミラクルジャグラー／ＫＵ,141,4624,15,14
305,2306,スーパーミラクルジャグラー／ＫＵ,1937,3725,21,8
306,2307,アイムジャグラーＥＸアニバーサリー／ＫＫ,-798,712,1,0
307,2308,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-740,536,0,0
308,2309,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-246,3891,14,9
309,2310,アイムジャグラーＥＸ－ＡＥ／ＫＴ,4372,7652,43,18
310,2311,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-560,1301,4,1
311,2312,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1957,1576,0,3
312,2313,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1147,1424,2,3
313,2314,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1518,1822,2,6
314,2315,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1248,1820,3,3
315,2316,アイムジャグラーＥＸ－ＡＥ／ＫＴ,868,5473,20,17
316,2317,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-202,1989,6,6
317,2318,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1364,2914,7,7
318,2319,ゴーゴージャグラーＫＫ,-229,2654,10,7
319,2320,ゴーゴージャグラーＫＫ,1824,5536,27,16
320,2321,ゴーゴージャグラーＫＫ,322,4752,20,12
321,2322,ゴーゴージャグラーＫＫ,551,7147,30,18
322,2323,ゴーゴージャグラーＫＫ,-1249,3827,8,18
323,2324,ゴーゴージャグラーＫＫ,-1144,2433,5,8
324,2325,アイムジャグラーＥＸ－ＡＥ／ＫＴ,246,5693,19,20
325,2326,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1113,3439,9,9
326,2327,アイムジャグラーＥＸ－ＡＥ／ＫＴ,629,4301,19,7
327,2328,アイムジャグラーＥＸ－ＡＥ／ＫＴ,0,0,0,0
328,2329,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-378,3220,11,6
329,2330,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-247,2849,10,5
330,2331,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1539,6349,16,23
331,2332,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1183,7119,20,27
332,2333,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-757,1312,2,5
333,2334,アイムジャグラーＥＸ－ＡＥ／ＫＴ,2218,6272,30,17
334,2335,アイムジャグラーＥＸ－ＡＥ／ＫＴ,202,1177,5,2
335,2336,アイムジャグラーＥＸアニバーサリー／ＫＫ,-681,809,1,1
336,2337,スーパーミラクルジャグラー／ＫＵ,-1283,1877,4,3
337,2338,スーパーミラクルジャグラー／ＫＵ,-642,2101,6,5
338,2339,スーパーミラクルジャグラー／ＫＵ,-1007,4328,13,12
339,2340,スーパーミラクルジャグラー／ＫＵ,-279,2507,10,5
340,2341,スーパーミラクルジャグラー／ＫＵ,2092,5815,28,17
341,2342,ディスクアップ／ＺＳ,952,5340,19,9
342,2343,ディスクアップ／ＺＳ,-590,382,0,0
343,2344,ディスクアップ／ＺＳ,-957,5083,15,14
344,2345,ディスクアップ／ＺＳ,-378,1009,2,2
345,2346,ディスクアップ／ＺＳ,-413,798,2,0
346,2347,ディスクアップ／ＺＳ,2364,5067,19,15
347,2348,ディスクアップ／ＺＳ,645,1503,6,2
348,2349,ディスクアップ／ＺＳ,-176,4133,12,7
349,2350,ディスクアップ／ＺＳ,-828,1608,3,4
350,2351,アレックスＡＥ,77,909,4,1
351,2352,ディスクアップ／ＺＳ,-1554,2795,5,8
352,2353,アレックスＡＥ,296,4778,18,12
353,2354,ディスクアップ／ＺＳ,4384,4690,28,5
354,2355,アレックスＡＥ,-430,6542,16,27
355,2356,クランキーセレブレーションＣＥ,-437,1179,5,1
356,2357,ニューパルサーＳＰ２／ＤＤ,-771,1329,3,2
357,2358,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,-936,1081,1,4
358,2359,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,-815,6798,21,24
359,2360,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,-875,617,0,2
360,2361,クレアの秘宝伝眠りの塔と目覚めの石／Ａ２,761,1360,7,2
361,2362,リノＮＧＴＣＣ,203,759,6,3
362,2363,リノＮＧＴＣＣ,0,0,0,0
363,2364,リノＮＧＴＣＣ,-741,444,0,0
364,2365,リノＮＧＴＣＣ,-46,26,0,0
